15,24,26,30,42,59
6,13,14,20,45,52
12,23,27,45,51,54
2,15,17,28,30,45
6,13,14,15,31,33
12,30,31,34,52,58
8,24,25,32,33,46
4,7,8,37,42,50
1,15,16,17,24,48
4,11,17,19,39,42
5,16,17,32,51,59
13,24,34,35,49,55
13,14,16,28,43,52
10,11,18,20,37,49
3,7,21,29,34,39
6,31,39,47,48,58
7,18,47,51,56,59
8,20,22,39,47,48
4,13,21,27,28,37
23,27,29,37,43,47
4,18,21,24,37,58
4,8,12,15,38,56
6,9,30,48,51,52
1,9,16,27,30,51
32,35,36,37,40,51
15,17,27,40,45,52
13,15,31,32,36,56
13,21,33,40,44,52
19,32,44,45,52,53
20,24,25,27,34,37
2,13,38,42,52,54
3,4,13,14,38,56
1,14,21,36,39,41
3,19,28,33,41,43
18,24,34,49,50,57
7,15,30,39,52,59
17,18,27,28,35,57
4,10,27,30,48,50
1,2,15,19,39,43
13,32,36,37,39,46
10,15,22,41,51,57
3,16,27,34,36,46
11,12,13,19,43,58
23,26,34,36,44,59
6,7,17,28,34,37
5,17,20,37,45,51
3,25,33,35,48,56
12,27,29,35,36,41
9,19,22,33,47,54
2,3,7,20,40,52
1,12,27,29,31,47
12,27,34,38,40,41
14,24,37,39,41,53
4,14,15,33,50,53
12,18,21,38,44,54
6,22,28,36,48,53
9,11,16,27,36,52
9,15,24,34,43,49
3,6,33,39,46,57
1,15,17,33,53,59
1,10,16,36,46,55
28,33,36,45,49,51
9,20,41,43,46,48
18,36,50,53,57,58
6,19,27,32,39,57
10,17,23,40,51,52
10,12,23,31,37,46
8,27,34,40,55,56
7,10,31,32,34,40
1,4,27,48,57,59
16,24,29,30,32,38
4,6,14,32,34,39
7,8,18,21,23,57
6,12,20,48,52,57
20,25,26,48,49,50
12,38,40,51,57,58
2,8,28,32,40,45
4,6,13,49,56,58
3,5,18,22,26,49
2,3,23,27,40,50
12,15,24,34,36,51
7,16,26,28,36,58
6,8,11,17,29,44
1,5,9,21,26,42
16,17,29,47,52,56
2,3,8,23,40,54
4,33,36,39,45,49
1,9,16,17,18,34
3,16,18,24,36,56
5,6,8,20,26,39
15,16,37,42,44,50
1,15,29,33,42,49
27,28,32,39,46,52
4,9,17,21,26,46
4,28,31,36,51,55
22,30,34,35,45,50
1,6,25,45,49,52
3,5,7,13,25,57
3,15,38,45,48,53
1,8,12,16,18,42
9,21,23,30,35,38
2,8,36,51,52,54
6,8,9,36,39,57
11,17,21,24,37,49
26,43,44,46,52,55
20,42,48,51,52,54
4,10,14,21,27,28
2,28,30,36,38,43
13,38,39,49,53,56
7,8,10,14,28,33
13,38,47,51,52,59
16,22,26,38,39,47
9,27,35,45,46,57
11,18,30,33,44,55
23,32,37,49,54,57
18,26,27,28,41,54
25,37,39,44,50,56
6,36,46,49,50,59
3,33,45,50,52,56
10,20,28,32,35,50
1,6,16,34,49,59
11,18,27,38,47,59
13,18,19,47,53,57
9,12,27,28,29,44
26,32,38,41,49,51
9,12,28,31,46,50
11,21,36,45,49,56
12,18,37,52,56,58
1,4,13,24,27,47
10,25,34,41,46,55
1,19,35,38,54,55
8,17,28,35,47,51
9,13,39,49,52,53
16,20,29,33,47,49
5,23,36,37,42,52
11,13,33,48,50,56
3,11,28,36,38,47
11,15,45,54,55,58
5,10,21,47,51,57
4,8,24,27,31,39
19,23,24,28,37,51
21,22,32,36,45,50
10,14,16,22,25,34
6,8,27,31,37,51
2,40,49,53,56,58
1,28,42,43,51,58
4,10,13,24,53,56
1,24,39,46,49,52
10,13,14,18,33,34
2,7,11,23,37,45
1,20,24,32,33,42
9,27,29,37,44,53
9,10,14,17,32,58
5,18,22,31,50,59
32,33,34,48,52,57
1,8,24,27,29,55
2,15,19,33,37,43
1,8,33,50,52,57
7,21,26,30,40,48
2,9,33,39,48,54
10,12,19,21,35,51
20,26,50,51,55,57
3,6,12,17,35,40
1,2,5,11,14,33
2,6,8,32,33,35
4,7,19,23,34,38
15,37,38,42,45,59
7,24,26,37,40,57
4,20,21,44,48,52
14,16,19,31,38,47
7,18,21,26,42,50
23,29,32,48,49,51
14,18,23,39,44,52
16,17,32,36,40,47
3,9,21,25,28,59
3,8,18,47,50,59
3,6,31,43,46,53
25,37,38,43,54,57
20,28,30,31,44,55
1,4,19,20,41,45
4,22,28,39,45,49
4,16,17,22,27,52
8,14,27,33,46,49
11,24,25,39,53,57
12,26,29,34,56,58
3,7,11,19,27,52
7,22,30,38,42,47
10,39,45,46,52,54
5,29,35,36,40,44
4,7,14,19,50,56
25,32,34,52,55,58
19,20,27,49,52,57
21,23,25,27,36,47
7,18,21,27,28,48
10,11,33,41,45,54
2,3,5,27,51,54
8,35,42,43,54,59
20,31,39,42,43,48
7,42,44,47,58,59
7,23,40,42,47,59
18,30,33,39,54,55
19,23,25,29,30,36
14,29,35,41,42,55
15,25,50,52,54,55
27,28,46,51,55,57
2,23,42,47,50,59
3,13,14,34,50,51
13,20,30,38,50,55
1,2,12,23,41,55
5,10,11,45,54,58
12,27,33,36,42,45
13,15,36,44,50,56
2,21,23,32,44,49
7,14,16,33,35,47
6,20,27,34,35,57
9,13,21,25,28,31
8,16,24,36,40,57
7,16,22,39,48,55
23,25,28,38,47,58
8,17,31,47,49,52
2,10,25,51,56,59
1,2,7,9,44,55
2,11,16,46,51,58
17,22,25,27,32,35
13,16,28,34,41,56
2,8,19,41,51,56
16,23,26,38,56,59
5,29,30,39,53,58
8,15,17,31,33,52
4,5,18,29,40,47
23,27,30,36,40,42
14,22,40,44,55,58
4,8,12,13,32,34
13,15,20,37,42,47
2,19,21,23,29,42
3,4,16,39,43,52
18,23,32,33,34,41
1,25,28,34,39,57
6,10,14,19,26,43
4,9,26,35,38,53
3,13,27,30,32,37
11,13,32,40,45,49
5,10,16,26,41,58
1,40,41,49,52,57
27,36,39,45,46,55
11,14,26,51,53,58
6,9,10,41,46,58
14,16,24,28,30,53
5,8,9,17,23,29
7,11,36,44,52,58
8,30,34,44,45,57
9,18,20,42,43,46
14,19,30,45,48,58
2,4,17,28,37,45
14,18,23,28,36,37
5,8,40,41,43,45
18,25,29,32,35,58
4,10,11,17,53,54
24,30,44,50,56,57
10,20,27,29,38,52
11,32,43,44,47,52
5,7,9,24,32,44
6,9,17,32,44,57
22,26,31,39,47,55
7,40,42,47,52,54
6,16,34,36,37,53
12,13,22,37,42,55
11,20,23,32,33,56
8,26,36,39,40,47
3,15,27,32,46,53
5,9,26,35,43,54
7,27,31,36,37,50
7,22,23,26,31,54
8,11,18,39,44,50
13,14,19,45,49,55
16,19,31,35,45,56
16,17,35,39,40,55
10,12,23,29,35,57
1,7,26,34,52,53
22,29,35,41,43,51
7,8,11,17,34,54
8,23,28,42,43,51
4,10,15,24,37,38
20,22,36,42,48,49
5,8,22,33,36,43
5,9,17,26,35,52
3,27,35,45,54,55
13,18,25,35,39,50
6,26,30,50,52,59
2,19,35,53,56,58
6,26,32,37,42,59
1,11,29,40,46,48
22,27,35,40,46,52
2,12,15,43,46,53
4,8,16,19,33,45
19,20,22,31,51,54
6,9,38,40,42,48
3,11,17,33,41,51
11,15,18,43,46,51
4,8,26,31,42,45
25,27,31,36,38,47
3,16,24,41,44,53
1,6,41,53,55,59
7,22,31,43,47,58
29,40,42,47,51,56
5,27,30,41,45,58
11,15,17,22,31,52
1,12,44,48,54,55
13,29,32,43,49,55
3,17,36,42,51,57
18,25,27,28,32,47
8,9,10,35,40,53
