3,12,36,44,45,8,11
8,16,24,26,35,3,11
7,17,29,37,45,3,11
2,4,8,27,50,2,9
6,15,20,30,38,4,7
5,7,21,25,37,3,4
3,8,10,32,45,4,12
1,3,33,40,45,3,4
9,18,32,38,46,2,3
4,23,27,31,50,1,8
5,14,28,30,47,4,11
4,30,31,38,42,4,6
4,16,32,42,46,8,12
3,14,31,36,50,1,12
16,23,42,43,49,10,12
2,15,18,24,43,8,12
1,15,18,25,31,9,11
18,20,36,43,44,3,9
16,28,29,30,36,8,10
7,26,36,38,43,6,12
20,25,34,42,45,6,11
11,17,22,23,41,6,11
2,4,23,39,40,3,9
2,15,40,43,46,3,6
4,6,27,48,50,1,11
1,4,14,21,49,2,12
3,8,26,33,45,7,10
8,30,33,38,48,2,10
1,12,15,29,48,3,5
15,21,23,40,48,3,12
15,16,20,34,50,4,7
14,25,39,41,44,2,8
7,19,26,42,50,4,9
23,26,33,38,49,1,12
7,21,23,36,38,6,8
8,19,32,43,46,2,8
9,15,22,39,46,4,5
17,18,24,29,40,4,5
6,11,20,38,43,2,4
13,15,16,28,41,4,5
1,11,37,41,48,8,12
5,8,10,13,31,3,6
4,16,20,31,39,2,12
3,22,34,49,50,8,11
17,25,35,39,44,2,5
6,12,23,39,45,9,12
6,15,17,42,48,4,6
12,24,40,41,46,5,12
20,23,28,30,44,3,7
3,16,25,39,44,7,11
15,27,33,39,50,4,6
5,25,34,48,50,6,7
14,27,39,46,48,11,12
1,29,33,45,47,4,8
3,8,16,40,43,5,8
12,17,28,35,47,7,11
17,20,23,40,46,9,10
5,7,11,46,50,8,11
26,29,37,39,44,9,11
4,17,24,27,31,10,11
9,11,13,33,49,6,12
9,14,21,32,44,1,12
15,20,26,31,44,2,9
2,7,34,45,48,1,12
3,31,41,48,50,8,11
10,17,18,28,47,3,7
6,14,19,25,29,5,11
10,12,23,32,50,4,10
10,13,17,21,44,1,10
22,31,36,38,44,1,11
8,17,28,34,38,6,12
14,34,36,39,48,2,3
11,15,21,27,35,4,5
6,15,24,28,48,4,9
5,8,9,23,24,7,8
3,8,17,44,50,2,7
20,23,31,34,46,3,12
13,21,23,30,45,4,6
6,12,15,38,49,2,9
2,5,20,38,41,4,8
10,20,21,28,48,1,8
4,8,22,23,48,1,12
4,17,30,43,44,2,10
5,24,30,31,43,3,6
8,15,30,38,46,4,7
25,30,31,42,50,2,11
20,37,39,44,50,4,8
4,22,30,32,34,3,4
11,36,43,44,48,2,7
5,24,29,35,46,11,12
1,6,12,18,42,2,7
19,24,28,30,50,3,10
2,10,14,28,31,5,7
20,26,35,36,42,5,12
14,16,39,40,41,8,10
13,22,29,36,37,1,9
7,19,20,37,41,2,12
5,12,17,33,41,4,9
1,12,36,43,46,3,5
3,16,23,32,39,1,4
9,11,13,27,33,7,10
4,17,23,27,30,3,8
13,17,19,26,36,2,3
23,29,37,45,50,5,11
4,21,34,36,37,3,6
1,9,15,19,25,1,7
6,24,32,48,50,1,5
7,18,19,32,48,3,7
1,29,40,41,48,6,12
6,11,31,39,42,1,3
1,8,21,30,45,2,3
13,18,37,44,49,9,12
10,17,27,29,35,4,11
9,24,42,47,49,1,5
6,9,18,28,29,1,9
3,7,8,14,49,5,8
4,12,15,32,38,1,5
1,5,7,15,47,9,12
3,10,12,17,27,3,5
2,24,39,42,45,2,8
10,14,30,35,46,4,10
18,28,39,46,48,5,12
15,25,26,40,41,4,5
29,30,36,40,41,2,9
14,21,24,29,30,8,10
5,9,29,31,41,2,4
12,14,43,44,48,2,11
1,8,9,26,49,5,9
1,25,27,41,45,5,7
11,14,20,21,47,7,10
14,22,26,42,50,8,10
11,20,35,37,45,3,6
10,22,25,37,49,5,8
17,35,39,47,50,6,8
9,17,21,28,45,1,3
3,4,21,31,38,3,7
11,18,26,43,44,8,10
15,17,38,41,42,9,12
3,12,22,27,49,4,11
9,20,27,39,43,10,11
20,22,25,37,40,3,7
8,10,24,33,42,3,9
7,12,27,38,48,6,9
5,7,26,36,39,2,10
8,15,25,27,42,1,4
9,11,12,19,30,4,9
8,11,15,20,30,3,8
2,20,28,29,44,3,9
8,12,16,22,26,6,7
3,7,30,35,43,1,3
6,19,23,25,27,11,12
14,20,25,30,39,2,8
9,11,19,32,43,3,9
2,13,16,22,49,4,5
17,22,31,38,45,5,12
4,14,20,23,33,6,10
5,21,22,31,49,2,8
2,10,19,35,50,6,7
1,9,24,33,34,2,6
17,24,26,28,45,4,12
9,13,31,33,46,6,10
2,17,21,27,34,5,9
1,20,23,44,47,4,11
6,10,19,29,36,3,9
3,5,21,36,44,3,6
31,36,38,47,49,8,11
6,37,41,48,50,4,5
2,11,29,30,47,1,12
10,20,31,35,42,2,12
2,4,13,22,43,8,9
13,19,41,45,49,3,4
19,25,33,36,48,2,9
2,10,24,40,44,3,10
7,21,26,35,43,2,9
4,10,31,38,44,8,10
3,4,15,46,50,5,9
3,4,17,23,44,6,9
17,20,28,45,48,5,9
1,5,7,17,23,3,8
10,17,27,31,49,3,5
4,16,25,43,47,2,10
3,7,16,26,50,4,7
2,11,29,35,44,4,9
10,14,18,21,49,9,11
19,23,27,34,49,1,11
